"partida_id","data","mandante","visitante","tecnico_mandante","tecnico_visitante","vencedor","arena","mandante_placar","visitante_placar","mandante_estado","visitante_estado","Ano","Ano do Campeonato","Jogo","Equipe","Mando","GP","GS","P","J","V","E","D","SG"
"5368","42504","Flamengo","Sport","M. Ramalho","O. de Oliveira Filho","Flamengo","Estádio Municipal General Raulino de Oliveira","1","0","RJ","PE","2016","2016","Flamengo x Sport","Flamengo","casa","1","0","3","1","1","0","0","1"
"5368","42504","Flamengo","Sport","M. Ramalho","O. de Oliveira Filho","Flamengo","Estádio Municipal General Raulino de Oliveira","1","0","RJ","PE","2016","2016","Flamengo x Sport","Sport","fora","0","1","0","1","0","0","1","-1"
"5367","42504","Palmeiras","Athletico-PR","A. Stival","P. Autuori de Mello","Palmeiras","Allianz Parque","4","0","SP","PR","2016","2016","Palmeiras x Athletico-PR","Palmeiras","casa","4","0","3","1","1","0","0","4"
"5367","42504","Palmeiras","Athletico-PR","A. Stival","P. Autuori de Mello","Palmeiras","Allianz Parque","4","0","SP","PR","2016","2016","Palmeiras x Athletico-PR","Athletico-PR","fora","0","4","0","1","0","0","1","-4"
"5369","42504","Atletico-MG","Santos","D. Aguirre Camblor","D. Silvestre Júnior","Atletico-MG","Estádio Raimundo Sampaio","1","0","MG","SP","2016","2016","Atletico-MG x Santos","Atletico-MG","casa","1","0","3","1","1","0","0","1"
"5369","42504","Atletico-MG","Santos","D. Aguirre Camblor","D. Silvestre Júnior","Atletico-MG","Estádio Raimundo Sampaio","1","0","MG","SP","2016","2016","Atletico-MG x Santos","Santos","fora","0","1","0","1","0","0","1","-1"
"5370","42504","Coritiba","Cruzeiro","G. Kleina","G. Delamore","Coritiba"," Couto Pereira","1","0","PR","MG","2016","2016","Coritiba x Cruzeiro","Coritiba","casa","1","0","3","1","1","0","0","1"
"5370","42504","Coritiba","Cruzeiro","G. Kleina","G. Delamore","Coritiba"," Couto Pereira","1","0","PR","MG","2016","2016","Coritiba x Cruzeiro","Cruzeiro","fora","0","1","0","1","0","0","1","-1"
"5371","42505","Santa Cruz","Vitoria","E. Da Conceição Silva","V. Carmo Mancini","Santa Cruz","Estádio do Arruda","4","1","PE","BA","2016","2016","Santa Cruz x Vitoria","Santa Cruz","casa","4","1","3","1","1","0","0","3"
"5371","42505","Santa Cruz","Vitoria","E. Da Conceição Silva","V. Carmo Mancini","Santa Cruz","Estádio do Arruda","4","1","PE","BA","2016","2016","Santa Cruz x Vitoria","Vitoria","fora","1","4","0","1","0","0","1","-3"
"5372","42505","Botafogo-RJ","Sao Paulo","R. Gomes Raymundo","E. Bauza","Sao Paulo","Estádio Municipal General Raulino de Oliveira","0","1","RJ","SP","2016","2016","Botafogo-RJ x Sao Paulo","Botafogo-RJ","casa","0","1","0","1","0","0","1","-1"
"5372","42505","Botafogo-RJ","Sao Paulo","R. Gomes Raymundo","E. Bauza","Sao Paulo","Estádio Municipal General Raulino de Oliveira","0","1","RJ","SP","2016","2016","Botafogo-RJ x Sao Paulo","Sao Paulo","fora","1","0","3","1","1","0","0","1"
"5375","42505","America-MG","Fluminense","G. de Oliveira","L. Culpi","Fluminense","Estádio Raimundo Sampaio","0","1","MG","RJ","2016","2016","America-MG x Fluminense","America-MG","casa","0","1","0","1","0","0","1","-1"
"5375","42505","America-MG","Fluminense","G. de Oliveira","L. Culpi","Fluminense","Estádio Raimundo Sampaio","0","1","MG","RJ","2016","2016","America-MG x Fluminense","Fluminense","fora","1","0","3","1","1","0","0","1"
