partida_id,clube,cartao,atleta,minuto
5029,Chapecoense,Amarelo,Wagner Ricardo Silva da Silva,24
5029,Joinville,Amarelo,Anselmo de Moraes,43
5029,Joinville,Amarelo,Héracles Paiva Aguiar,22
5030,Sao Paulo,Amarelo,Rogério Ceni,45+4
5030,Sao Paulo,Amarelo,Denílson Pereira Neves,45
5030,Santos,Amarelo,Werley Ananias da Silva,77
5030,Santos,Amarelo,Ricardo Oliveira,59
5030,Santos,Vermelho,Marquinhos,87
5030,Sao Paulo,Amarelo,Paulo Miranda,66
5030,Sao Paulo,Amarelo,Renan Ribeiro,45+4
5030,Sao Paulo,Amarelo,Michel Bastos,24
5030,Santos,Amarelo,Lucas Otávio,68
5033,Gremio,Amarelo,Walace,84
5033,Corinthians,Amarelo,Vágner Love,90+3
5033,Corinthians,Amarelo,Bruno Henrique Corsini,21
5033,Gremio,Amarelo,Yuri Mamute,16
5033,Corinthians,Amarelo,Carlos Gilberto do Nascimento Silva,32
5032,Avai,Amarelo,Anderson Lopes,69
5032,Avai,Amarelo,Renan Martins Pereira,45+1
5032,Atletico-MG,Amarelo,Rafael de Souza Pereira,56
5032,Avai,Amarelo,Antonio Carlos Capocasali,55
5032,Atletico-MG,Amarelo,Maicosuel,71
5032,Atletico-MG,Amarelo,Leonardo Silva,38
5031,Cruzeiro,Amarelo,Bruno Rodrigo,54
5031,Flamengo,Amarelo,Éverton Cardoso da Silva,31
5031,Cruzeiro,Amarelo,Fábio Deivson Lopes Maciel,90
5031,Flamengo,Amarelo,Luiz Antônio de Souza Soares,90+1
5031,Flamengo,Amarelo,Alecsandro,28
5034,Coritiba,Amarelo,Luccas Claro,90+3
5034,Coritiba,Amarelo,Thiago Galhardo,58
5034,Fluminense,Amarelo,Edson Felipe da Cruz,90
5034,Coritiba,Amarelo,João Paulo Silva,83
5034,Coritiba,Amarelo,Hélder,55
5035,Sport,Amarelo,Joelinton Cassio Apolinário de Lira,54
5035,Goias,Amarelo,Bruno Henrique,90+3
5035,Goias,Amarelo,Felipe Menezes,59
5035,Sport,Amarelo,Diego Souza,44
5035,Goias,Amarelo,Péricles da Silva Nunes,90+2
5035,Goias,Amarelo,Rafael Forster,41
5036,Palmeiras,Amarelo,Lucas Rios Marques,68
5036,Internacional,Amarelo,Artur,74
5036,Internacional,Amarelo,Alex Raphael Meschini,0
5036,Internacional,Amarelo,Alisson Becker,90+3
5036,Internacional,Amarelo,Anderson Luís de Abreu Oliveira,63
5038,Flamengo,Amarelo,Marcelo Cirino da Silva,80
5038,Chapecoense,Vermelho,Vilson Xavier de Menezes Júnior,63
5039,Santos,Amarelo,Daniel Guedes,82
5039,Ponte Preta,Amarelo,Fernando Paixão da Silva,74
5039,Santos,Amarelo,Lucas Rafael Araújo Lima,47
5039,Ponte Preta,Amarelo,Gilson Gomes do Nascimento,60
5041,Corinthians,Amarelo,Cássio Ramos,90+4
5041,Joinville,Amarelo,Willian Popp,23
5040,Athletico-PR,Amarelo,Walter Henrique da Silva,86
5040,Athletico-PR,Amarelo,Weverton Pereira da Silva,75
5040,Vasco,Amarelo,Emanuel Biancucchi,79
5040,Vasco,Amarelo,Julio dos Santos,39
5040,Athletico-PR,Amarelo,Nikão,83
5040,Athletico-PR,Amarelo,Carlos Eduardo Santos Oliveira,22
5040,Vasco,Amarelo,Lucas Santos Siqueira,58
5042,Sao Paulo,Amarelo,Luís Fabiano,51
5042,Gremio,Amarelo,Marcelo Oliveira Ferreira,55
5042,Sao Paulo,Amarelo,Josef de Souza Dias,57
5042,Sao Paulo,Amarelo,Denílson Pereira Neves,48
5042,Gremio,Amarelo,Fellipe Bastos,26
5043,Internacional,Vermelho,Lisandro López,80
5043,Internacional,Amarelo,Rodrigo Dourado,82
5043,Internacional,Amarelo,Anderson Luís de Abreu Oliveira,78
5043,Coritiba,Amarelo,Henrique Gelain Custodio,90+2
5043,Coritiba,Amarelo,Norberto Pereira Marinho Neto,52
5043,Coritiba,Amarelo,Fabricio Santos de Jesus,13
5043,Internacional,Amarelo,Lisandro López,79
5043,Internacional,Amarelo,Victor Vinícius Coelho Santos,27
5043,Coritiba,Amarelo,Ruy Franco de Almeida Junior,73
5043,Coritiba,Amarelo,Thiago Galhardo,30
5045,Goias,Amarelo,Alex Alves Cardoso,67
5045,Avai,Amarelo,Jeci,78
5045,Avai,Amarelo,Antonio Carlos Capocasali,33
5045,Goias,Amarelo,Jarlan Pinheiro da Silva,89
5045,Avai,Amarelo,Rômulo,90+5
5045,Avai,Amarelo,Eduardo Neto,70
5046,Fluminense,Amarelo,Wellington do Nascimento Silva,88
5046,Sport,Amarelo,Matheus Ferraz Pereira,83
5046,Fluminense,Amarelo,Marcos Júnior,90+3
5046,Fluminense,Amarelo,Wagner Ferreira dos Santos,84
5046,Sport,Amarelo,Renê Rodrigues Martins,47
5044,Figueirense,Amarelo,Marcos Roberto da Silva Barbosa,69
5044,Palmeiras,Amarelo,Ayrton Ganino,90+3
5044,Palmeiras,Amarelo,Kelvin Mateus de Oliveira,26
5044,Figueirense,Amarelo,Marcos Assis de Santana,88
5044,Figueirense,Amarelo,Paulo Roberto da Silva,10
5044,Palmeiras,Amarelo,Egídio de Araújo Pereira Júnior,60
5047,Atletico-MG,Amarelo,Guilherme Milhomem Gusmão,90+4
5047,Santos,Amarelo,Gustavo Henrique Vernes,64
5047,Santos,Amarelo,Lucas Rafael Araújo Lima,39
5047,Santos,Amarelo,Vladimir Orlando Cardoso de Araújo Filho,90+1
5047,Santos,Amarelo,Werley Ananias da Silva,45
5050,Internacional,Amarelo,Nicolás Freitas,18
5050,Internacional,Amarelo,William de Asevedo Furtado,40
5049,Chapecoense,Amarelo,Ananias Elói Castro Monteiro,10
5049,Sao Paulo,Amarelo,Hudson,51
5049,Sao Paulo,Amarelo,Luís Fabiano,23
5049,Chapecoense,Amarelo,José Gildeixon Clemente de Paiva,85
5049,Sao Paulo,Amarelo,Thiago Henrique Mendes Ribeiro,78
5049,Sao Paulo,Amarelo,Bruno Vieira,50
5048,Coritiba,Amarelo,Fabricio Santos de Jesus,25
5048,Flamengo,Amarelo,Paulo Victor Mileo Vidotti,88
5048,Flamengo,Amarelo,Jonas Gomes de Sousa,34
5048,Flamengo,Vermelho,Jonas Gomes de Sousa,45
5048,Coritiba,Amarelo,Thiago Galhardo,70
5048,Flamengo,Amarelo,Marcelo Cirino da Silva,90
5048,Flamengo,Amarelo,Márcio Rodrigues Araújo,39
5051,Joinville,Amarelo,Mario Sérgio,54
5051,Joinville,Amarelo,Guti,36
5051,Joinville,Amarelo,Dankler,63
5051,Joinville,Amarelo,Anselmo de Moraes,45
5052,Vasco,Amarelo,Luan Garcia Teixeira,61
5052,Cruzeiro,Amarelo,Willians Domingos Fernandes,57
5052,Cruzeiro,Amarelo,Pará,8
5052,Vasco,Amarelo,Rodrigo Baldasso da Costa,63
5052,Cruzeiro,Amarelo,Joel Tagueu,87
5052,Cruzeiro,Amarelo,Leandro Damião,21
5053,Ponte Preta,Amarelo,Tiago dos Santos Alves,57
5053,Goias,Amarelo,Patrick,90+2
5053,Goias,Amarelo,Bruno Henrique,60
5053,Ponte Preta,Amarelo,Biro-Biro,84
5053,Ponte Preta,Amarelo,Pablo Castro,28
5053,Goias,Amarelo,Clayton Sales,88
5055,Fluminense,Vermelho,Gum,89
5055,Fluminense,Amarelo,Diego Cavalieri,90+1
5055,Fluminense,Amarelo,Gum,79
5055,Fluminense,Amarelo,Jean Raphael Vanderlei Moreira,67
5055,Fluminense,Amarelo,Antônio Carlos dos Santos Aguiar,34
5055,Fluminense,Vermelho,Magno Alves,60
5055,Fluminense,Amarelo,José Renato da Silva Júnior,87
5055,Fluminense,Amarelo,Marcos Júnior,78
5055,Fluminense,Amarelo,Lucas Pierre Santos Oliveira,57
5054,Avai,Amarelo,André Lima,73
5054,Avai,Amarelo,Nino Paraíba,14
5054,Figueirense,Amarelo,Marcos Roberto da Silva Barbosa,38
5054,Avai,Amarelo,Jeci,90+6
5054,Avai,Amarelo,Renan Martins Pereira,23
5054,Figueirense,Amarelo,Marcos Assis de Santana,59
5054,Figueirense,Amarelo,Roberto Cereceda,28
5056,Athletico-PR,Amarelo,Otávio Henrique Santos,88
5056,Athletico-PR,Amarelo,Kadu,70
5056,Gremio,Amarelo,Luan Guilherme de Jesus Vieira,47
5056,Athletico-PR,Amarelo,Nikão,76
5056,Athletico-PR,Amarelo,Ytalo José dos Santos,53
5057,Figueirense,Amarelo,França,90+2
5057,Figueirense,Amarelo,Bruno Alves,45+2
5057,Internacional,Amarelo,Rodrigo Dourado,78
5057,Figueirense,Amarelo,Clayton da Silveira da Silva,73
5057,Figueirense,Amarelo,Leandro Silva,14
5057,Internacional,Amarelo,Jorge Henrique,58
5058,Sport,Amarelo,Samuel,83
5058,Vasco,Amarelo,Luan Garcia Teixeira,80
5058,Vasco,Amarelo,Pablo Guiñazú,26
5058,Sport,Amarelo,Samuel Xavier,73
5058,Vasco,Amarelo,Emanuel Biancucchi,58
5059,Atletico-MG,Vermelho,Patric Cabral Lalau,86
5059,Atletico-MG,Amarelo,Patric Cabral Lalau,35
5060,Santos,Amarelo,Neto Berola,90+2
5060,Corinthians,Vermelho,Fagner,74
5060,Santos,Amarelo,Geuvânio,81
5060,Santos,Amarelo,Daniel Guedes,24
5060,Corinthians,Amarelo,Luciano da Rocha Neves,72
5060,Corinthians,Amarelo,Fagner,31
5060,Santos,Vermelho,Rafael Longuine,70
5060,Santos,Amarelo,Vladimir Orlando Cardoso de Araújo Filho,81
5060,Santos,Amarelo,Rafael Longuine,51
5060,Corinthians,Amarelo,Uendel Pereira Gonçalves,90+4
5060,Corinthians,Amarelo,Ralf de Souza Teles,39
5061,Gremio,Amarelo,Maicon,68
5061,Gremio,Amarelo,Rafael Galhardo,30
5061,Palmeiras,Amarelo,Róbson Michael Signorini,50
5061,Gremio,Amarelo,Walace,87
5061,Gremio,Amarelo,Marcelo Oliveira Ferreira,44
5061,Palmeiras,Amarelo,Alecsandro,63
5061,Palmeiras,Amarelo,Gabriel Girotto Franco,17
5062,Cruzeiro,Amarelo,Bruno Rodrigo,90+1
5062,Cruzeiro,Amarelo,Henrique Pacheco Lima,34
5062,Chapecoense,Amarelo,Marcos Danilo Padilha,85
5062,Chapecoense,Amarelo,José Gildeixon Clemente de Paiva,67
5062,Cruzeiro,Amarelo,Bruno Edgar,70
5062,Cruzeiro,Amarelo,Pará,3
5062,Chapecoense,Amarelo,Hélio Hermito Zampier Neto,83
5063,Goias,Vermelho,Diogo Barbosa,85
5063,Joinville,Amarelo,Mario Sérgio,86
5063,Joinville,Amarelo,Augusto,42
5063,Goias,Amarelo,Patrick,56
5063,Goias,Amarelo,Clayton Sales,26
5063,Joinville,Vermelho,Diego Jara Rodrigues,58
5063,Joinville,Amarelo,Marinaldo dos Santos Oliveira,90+3
5063,Joinville,Amarelo,Anselmo de Moraes,72
5063,Goias,Amarelo,Felipe Macedo,74
5063,Goias,Amarelo,Diogo Barbosa,42
5063,Goias,Amarelo,Felipe Menezes,7
5065,Avai,Amarelo,Eltinho,90+4
5065,Avai,Amarelo,Eduardo Neto,45
5065,Avai,Amarelo,Marquinhos Santos,31
5065,Sao Paulo,Amarelo,Alexandre Pato,36
5065,Avai,Amarelo,Adriano Pagode,66
5065,Avai,Amarelo,Romário Guilherme dos Santos,40
5064,Coritiba,Vermelho,Wellington Paulista,90
5064,Athletico-PR,Amarelo,Kadu,41
5064,Coritiba,Amarelo,Wellington Paulista,83
5064,Coritiba,Amarelo,Leandro Silva,41
5064,Coritiba,Amarelo,Ruy Franco de Almeida Junior,26
5064,Coritiba,Vermelho,Norberto Pereira Marinho Neto,90+4
5064,Athletico-PR,Amarelo,Weverton Pereira da Silva,15
5064,Coritiba,Amarelo,João Paulo Silva,57
5064,Coritiba,Amarelo,Norberto Pereira Marinho Neto,27
5066,Fluminense,Amarelo,Gerson Santos da Silva,22
5066,Ponte Preta,Amarelo,Josimar,67
5066,Fluminense,Amarelo,Marcos Júnior,69
5066,Ponte Preta,Amarelo,Fernando Paixão da Silva,90+4
5066,Ponte Preta,Amarelo,Renato de Araújo Chaves Júnior,31
5067,Avai,Amarelo,Rômulo,90+4
5067,Avai,Amarelo,Anderson Lopes,42
5067,Gremio,Amarelo,Yuri Mamute,62
5067,Avai,Amarelo,Eltinho,70
5067,Gremio,Amarelo,Tiago Machowski,78
5067,Gremio,Amarelo,Lucas Ramon Batista Silva,54
5068,Chapecoense,Amarelo,Elicarlos,28
5068,Sport,Amarelo,Wendel Geraldo Maurício e Silva,82
5068,Sport,Amarelo,Mike dos Santos Nenatarvicius,75
5068,Sport,Amarelo,Jonathan Marlone,41
5068,Sport,Amarelo,Diego Souza,86
5068,Sport,Amarelo,Rithely,79
5068,Sport,Amarelo,Samuel Xavier,69
5069,Figueirense,Amarelo,Roberto Cereceda,32
5069,Figueirense,Amarelo,Marcos Roberto da Silva Barbosa,59
5070,Atletico-MG,Amarelo,Thiago Ribeiro,45+1
