partida_id,clube,posse_de_bola,passes,faltas,impedimentos,escanteios
5088,Chapecoense,0.68,508,12,2,14
5088,Vasco,0.32,261,12,0,4
5090,Sport,0.63,500,14,2,9
5090,Avai,0.37,293,16,4,5
5091,Goias,0.38,382,12,3,5
5091,Corinthians,0.62,605,12,1,7
5093,Santos,0.41,462,13,0,1
5093,Gremio,0.59,654,12,2,2
5092,Fluminense,0.4,333,16,2,4
5092,Sao Paulo,0.6,492,18,3,7
5094,Ponte Preta,0.53,506,12,1,1
5094,Palmeiras,0.47,464,22,1,5
5095,Flamengo,0.62,549,9,4,8
5095,Figueirense,0.38,346,20,3,5
5096,Atletico-MG,0.54,537,11,0,4
5096,Internacional,0.46,452,5,5,6
5098,Santos,0.59,546,8,1,5
5098,Goias,0.41,374,7,1,7
5097,Gremio,0.59,529,7,3,8
5097,Chapecoense,0.41,365,8,0,5
5099,Coritiba,0.52,422,18,1,7
5099,Ponte Preta,0.48,396,17,6,2
5101,Palmeiras,0.57,430,12,2,11
5101,Avai,0.43,329,11,1,2
5100,Joinville,0.48,325,21,0,10
5100,Figueirense,0.52,337,11,2,7
5102,Atletico-MG,0.54,462,17,7,9
5102,Sport,0.46,404,12,0,5
5103,Flamengo,0.4,385,19,5,2
5103,Internacional,0.6,563,17,2,3
5104,Sao Paulo,0.52,507,10,4,2
5104,Vasco,0.48,475,12,0,8
5105,Corinthians,0.47,453,6,1,3
5105,Athletico-PR,0.53,478,13,3,8
5106,Cruzeiro,0.61,454,15,1,5
5106,Fluminense,0.39,297,10,5,6
5107,Figueirense,0.52,419,12,1,2
5107,Santos,0.48,391,12,2,6
5108,Gremio,0.62,590,16,0,6
5108,Vasco,0.38,372,12,0,3
5109,Ponte Preta,0.44,406,13,2,4
5109,Atletico-MG,0.56,503,19,0,4
5110,Sao Paulo,0.53,447,18,5,2
5110,Coritiba,0.47,397,14,3,10
5112,Corinthians,0.4,394,15,1,1
5112,Flamengo,0.6,535,7,7,13
5111,Internacional,0.37,283,19,3,2
5111,Joinville,0.63,456,17,4,6
5113,Fluminense,0.41,322,11,2,2
5113,Athletico-PR,0.59,456,12,1,10
5114,Cruzeiro,0.64,537,17,0,11
5114,Goias,0.36,315,13,1,2
5115,Sport,0.59,506,10,5,6
5115,Palmeiras,0.41,351,17,3,4
5116,Chapecoense,0.61,433,14,1,7
5116,Avai,0.39,280,15,4,6
5117,Internacional,0.63,540,18,1,6
5117,Goias,0.37,315,12,4,5
5118,Gremio,0.61,506,11,1,4
5118,Flamengo,0.39,323,12,1,7
5119,Corinthians,0.44,392,12,4,2
5119,Atletico-MG,0.56,467,15,2,6
5120,Athletico-PR,0.56,439,14,2,7
5120,Chapecoense,0.44,350,13,4,1
5121,Coritiba,0.59,523,18,0,2
5121,Figueirense,0.41,356,20,2,2
5123,Vasco,0.42,287,17,2,2
5123,Fluminense,0.58,375,15,0,9
5124,Palmeiras,0.44,301,24,3,2
5124,Santos,0.56,374,10,3,5
5122,Sao Paulo,0.54,468,12,8,3
5122,Sport,0.46,408,9,4,2
5125,Avai,0.33,263,16,0,3
5125,Cruzeiro,0.67,554,7,1,6
5126,Joinville,0.54,451,11,1,8
5126,Ponte Preta,0.46,397,14,1,2
5127,Avai,0.47,362,5,2,7
5127,Athletico-PR,0.53,442,17,1,2
5128,Sport,0.43,462,8,0,4
5128,Gremio,0.57,582,6,7,13
5129,Figueirense,0.38,311,19,3,9
5129,Atletico-MG,0.62,508,16,1,8
5131,Santos,0.5,481,4,7,7
5131,Joinville,0.5,482,12,2,6
5130,Chapecoense,0.48,372,15,3,1
5130,Fluminense,0.52,373,16,1,10
5132,Internacional,0.42,315,19,3,8
5132,Ponte Preta,0.58,416,10,1,13
5135,Goias,0.43,330,11,0,11
5135,Flamengo,0.57,448,6,1,4
5133,Corinthians,0.46,405,18,0,5
5133,Coritiba,0.54,461,7,10,5
5134,Cruzeiro,0.51,457,14,0,2
5134,Sao Paulo,0.49,428,16,4,5
5136,Palmeiras,0.44,363,21,5,4
5136,Vasco,0.56,446,14,8,8
5137,Corinthians,0.6,552,7,0,3
5137,Vasco,0.4,357,15,9,4
5138,Sao Paulo,0.51,550,6,7,4
5138,Atletico-MG,0.49,521,6,2,3
5139,Gremio,0.55,484,13,1,4
5139,Fluminense,0.45,399,16,3,4
5141,Palmeiras,0.51,433,13,2,5
5141,Athletico-PR,0.49,442,18,2,4
5140,Coritiba,0.61,459,11,3,9
5140,Goias,0.39,297,19,1,7
5142,Avai,0.49,392,9,0,4
5142,Joinville,0.51,393,22,2,10
5143,Internacional,0.64,509,4,2,11
5143,Chapecoense,0.36,301,13,3,7
5144,Figueirense,0.44,303,19,1,4
5144,Ponte Preta,0.56,388,18,1,5
5145,Flamengo,0.55,443,17,2,9
5145,Santos,0.45,395,14,0,3
5146,Sport,0.49,457,15,3,6
5146,Cruzeiro,0.51,473,17,5,6
5147,Fluminense,0.7,526,12,3,9
5147,Avai,0.3,221,14,2,6
5148,Coritiba,0.49,447,15,3,5
5148,Santos,0.51,453,12,1,5
5149,Sport,0.47,491,11,0,2
5149,Athletico-PR,0.53,516,6,4,7
5150,Joinville,0.4,301,21,3,9
5150,Vasco,0.6,440,17,2,9
5153,Ponte Preta,0.41,337,17,0,3
5153,Flamengo,0.59,457,16,0,4
5152,Cruzeiro,0.48,415,21,4,5
5152,Palmeiras,0.52,446,18,4,7
5154,Atletico-MG,0.63,568,11,0,6
5154,Goias,0.37,347,8,3,2
5151,Corinthians,0.41,354,16,4,5
5151,Sao Paulo,0.59,503,13,7,8
5155,Internacional,0.43,417,12,1,5
5155,Gremio,0.57,553,16,1,4
5156,Figueirense,0.51,321,13,2,7
5156,Chapecoense,0.49,331,20,0,5
5158,Flamengo,0.47,390,10,1,7
5158,Athletico-PR,0.53,458,16,1,4
5157,Palmeiras,0.55,475,11,1,8
5157,Coritiba,0.45,402,14,0,3
5159,Vasco,0.48,343,22,0,6
5159,Santos,0.52,370,12,8,6
5160,Goias,0.55,507,6,0,12
5160,Chapecoense,0.45,450,16,0,1
5161,Sao Paulo,0.48,356,18,0,6
5161,Figueirense,0.52,376,18,1,6
5162,Fluminense,0.4,315,14,0,8
5162,Internacional,0.6,465,20,0,8
5163,Sport,0.43,391,8,4,4
5163,Corinthians,0.57,491,11,2,9
5164,Avai,0.37,318,6,1,1
5164,Ponte Preta,0.63,539,13,3,4
5166,Gremio,0.4,413,12,2,3
5166,Atletico-MG,0.6,563,10,1,12
5165,Joinville,0.33,298,10,0,8
5165,Cruzeiro,0.67,627,10,3,9
5167,Vasco,0.56,389,12,1,7
5167,Coritiba,0.44,323,19,0,3
5168,Athletico-PR,0.63,502,10,2,11
5168,Santos,0.37,307,13,3,4
5169,Goias,0.34,339,4,1,8
5169,Sao Paulo,0.66,636,4,0,7
5170,Palmeiras,0.38,300,18,0,3
5170,Flamengo,0.62,466,15,4,6
5172,Figueirense,0.42,330,18,1,2
5172,Fluminense,0.58,442,14,1,3
5173,Internacional,0.45,391,22,0,6
5173,Cruzeiro,0.55,476,14,3,5
5174,Ponte Preta,0.53,542,16,2,1
5174,Sport,0.47,481,7,1,3
5171,Avai,0.36,282,15,5,8
5171,Corinthians,0.64,546,8,1,0
5175,Gremio,0.69,619,10,2,10
5175,Joinville,0.31,282,18,1,4
5176,Atletico-MG,0.64,538,8,2,7
5176,Chapecoense,0.36,313,12,1,3
5177,Goias,0.51,406,16,2,4
5177,Vasco,0.49,407,13,4,2
5178,Avai,0.41,364,12,1,2
5178,Santos,0.59,538,14,1,7
5179,Sport,0.59,429,13,1,6
5179,Figueirense,0.41,284,19,8,8
5180,Chapecoense,0.54,447,17,2,0
5180,Coritiba,0.46,374,19,0,5
5181,Gremio,0.42,437,13,1,1
5181,Ponte Preta,0.58,587,12,3,6
5182,Fluminense,0.54,379,15,5,4
5182,Joinville,0.46,320,26,3,3
5183,Athletico-PR,0.53,491,12,2,0
5183,Internacional,0.47,430,10,0,8
5184,Corinthians,0.39,387,12,0,3
5184,Cruzeiro,0.61,590,7,6,6
5185,Flamengo,0.44,277,25,2,10
5185,Sao Paulo,0.56,364,15,2,5
5186,Palmeiras,0.44,386,12,2,2
5186,Atletico-MG,0.56,472,13,5,7
5187,Vasco,0.62,490,11,3,7
5187,Figueirense,0.38,313,19,0,1
5188,Sao Paulo,0.47,496,16,2,3
5188,Ponte Preta,0.53,551,11,1,7
5189,Coritiba,0.51,399,15,1,6
5189,Gremio,0.49,385,13,2,7
5190,Internacional,0.64,516,12,1,8
5190,Avai,0.36,290,14,2,5
5191,Joinville,0.43,360,18,1,1
5191,Palmeiras,0.57,465,9,3,3
5192,Atletico-MG,0.57,484,16,0,6
5192,Fluminense,0.43,372,23,0,0
5193,Flamengo,0.62,575,19,2,6
5193,Sport,0.38,351,6,3,4
5194,Chapecoense,0.48,388,14,4,7
5194,Corinthians,0.52,429,11,1,5
5195,Cruzeiro,0.53,505,17,1,4
5195,Santos,0.47,469,12,1,2
5196,Athletico-PR,0.64,509,12,0,6
5196,Goias,0.36,284,13,2,3
5198,Cruzeiro,0.54,440,22,1,6
5198,Ponte Preta,0.46,383,19,1,5
5199,Vasco,0.61,549,10,4,6
5199,Internacional,0.39,345,22,2,2
5197,Joinville,0.47,359,23,0,8
5197,Sao Paulo,0.53,407,14,5,8
5201,Athletico-PR,0.49,368,16,1,2
5201,Atletico-MG,0.51,344,18,10,10
5200,Avai,0.37,345,18,1,5
5200,Flamengo,0.63,588,14,3,2
5204,Goias,0.4,350,11,1,3
5204,Palmeiras,0.6,510,14,2,7
5203,Fluminense,0.4,345,11,6,3
5203,Corinthians,0.6,520,12,0,8
5202,Sport,0.52,452,14,3,4
5202,Coritiba,0.48,414,16,2,3
5205,Chapecoense,0.49,420,12,2,9
